"movieid","title","released_year","title_released_year","genres"
157110,"00 Schneider - Jagd auf Nihil Baxter",1994,"00 Schneider - Jagd auf Nihil Baxter (1994)","Comedy"
157110,"00 Schneider - Jagd auf Nihil Baxter",1994,"00 Schneider - Jagd auf Nihil Baxter (1994)","Crime"
6658,"10",1979,"10 (1979)","Comedy"
6658,"10",1979,"10 (1979)","Romance"
58293,"10,000 BC",2008,"10,000 BC (2008)","Adventure"
58293,"10,000 BC",2008,"10,000 BC (2008)","Romance"
58293,"10,000 BC",2008,"10,000 BC (2008)","Thriller"
7541,"100 Girls",2000,"100 Girls (2000)","Comedy"
7541,"100 Girls",2000,"100 Girls (2000)","Romance"
168350,"100 Streets",2016,"100 Streets (2016)","Drama"
1367,"101 Dalmatians",1996,"101 Dalmatians (1996)","Adventure"
1367,"101 Dalmatians",1996,"101 Dalmatians (1996)","Children"
1367,"101 Dalmatians",1996,"101 Dalmatians (1996)","Comedy"
121099,"101 Dalmatians II: Patch's London Adventure",2003,"101 Dalmatians II: Patch's London Adventure (2003)","Animation"
121099,"101 Dalmatians II: Patch's London Adventure",2003,"101 Dalmatians II: Patch's London Adventure (2003)","Children"
2085,"101 Dalmatians (One Hundred and One Dalmatians)",1961,"101 Dalmatians (One Hundred and One Dalmatians) (1961)","Adventure"
2085,"101 Dalmatians (One Hundred and One Dalmatians)",1961,"101 Dalmatians (One Hundred and One Dalmatians) (1961)","Animation"
2085,"101 Dalmatians (One Hundred and One Dalmatians)",1961,"101 Dalmatians (One Hundred and One Dalmatians) (1961)","Children"
6344,"101 Reykjavik (101 Reykjavík)",2000,"101 Reykjavik (101 Reykjavík) (2000)","Comedy"
6344,"101 Reykjavik (101 Reykjavík)",2000,"101 Reykjavik (101 Reykjavík) (2000)","Drama"
6344,"101 Reykjavik (101 Reykjavík)",2000,"101 Reykjavik (101 Reykjavík) (2000)","Romance"
3991,"102 Dalmatians",2000,"102 Dalmatians (2000)","Children"
3991,"102 Dalmatians",2000,"102 Dalmatians (2000)","Comedy"
139717,"10 Cent Pistol",2015,"10 Cent Pistol (2015)","Crime"
139717,"10 Cent Pistol",2015,"10 Cent Pistol (2015)","Thriller"
152077,"10 Cloverfield Lane",2016,"10 Cloverfield Lane (2016)","Thriller"
49284,"10 Items or Less",2006,"10 Items or Less (2006)","Comedy"
49284,"10 Items or Less",2006,"10 Items or Less (2006)","Drama"
49284,"10 Items or Less",2006,"10 Items or Less (2006)","Romance"
2572,"10 Things I Hate About You",1999,"10 Things I Hate About You (1999)","Comedy"
2572,"10 Things I Hate About You",1999,"10 Things I Hate About You (1999)","Romance"
55391,"10th & Wolf",2006,"10th & Wolf (2006)","Crime"
55391,"10th & Wolf",2006,"10th & Wolf (2006)","Drama"
55391,"10th & Wolf",2006,"10th & Wolf (2006)","Thriller"
98230,"10 Years",2011,"10 Years (2011)","Comedy"
98230,"10 Years",2011,"10 Years (2011)","Drama"
98230,"10 Years",2011,"10 Years (2011)","Romance"
7789,"11'0901 - September 11",2002,"11'0901 - September 11 (2002)","Drama"
27674,"11:14",2003,"11:14 (2003)","Comedy"
27674,"11:14",2003,"11:14 (2003)","Crime"
27674,"11:14",2003,"11:14 (2003)","Drama"
27674,"11:14",2003,"11:14 (2003)","Mystery"
27674,"11:14",2003,"11:14 (2003)","Thriller"
81562,"127 Hours",2010,"127 Hours (2010)","Adventure"
81562,"127 Hours",2010,"127 Hours (2010)","Drama"
81562,"127 Hours",2010,"127 Hours (2010)","Thriller"
1203,"12 Angry Men",1957,"12 Angry Men (1957)","Drama"
77846,"12 Angry Men",1997,"12 Angry Men (1997)","Crime"
